ACTIVE_MEM: committed memory (gb)
Stage1,,Stage2,,Stage3
time in interval: 100s,average committed memory (gb) per 30.0s,time in interval: 100s,average committed memory (gb) per 30.0s,time in interval: 100s,average committed memory (gb) per 30.0s
2014-04-15 22:28:29,3.58889007568,2014-04-15 22:46:14,3.1688117981,2014-04-15 22:58:10,4.66425323486
2014-04-15 22:28:59,3.65455627441,2014-04-15 22:46:44,3.16331863403,2014-04-15 22:58:40,4.63335418701
2014-04-15 22:29:29,3.66485977173,2014-04-15 22:47:14,3.17290496826,2014-04-15 22:59:10,4.63899993896
2014-04-15 22:29:59,4.04240036011,2014-04-15 22:47:44,3.82844161987,2014-04-15 22:59:40,4.82344818115
2014-04-15 22:30:29,4.0425491333,2014-04-15 22:48:14,3.83039093018,2014-04-15 23:00:10,5.20880126953
2014-04-15 22:30:59,3.99778366089,2014-04-15 22:48:44,3.87191772461,2014-04-15 23:00:40,5.37508392334
2014-04-15 22:31:29,4.19583129883,2014-04-15 22:49:14,4.060962677,2014-04-15 23:01:10,5.4573059082
2014-04-15 22:31:59,4.14702606201,2014-04-15 22:49:44,4.06078720093,2014-04-15 23:01:40,5.49929428101
2014-04-15 22:32:29,4.14394760132,2014-04-15 22:50:14,4.06095504761,2014-04-15 23:02:10,5.48928833008
2014-04-15 22:32:59,4.19316101074,2014-04-15 22:50:44,4.05417251587,2014-04-15 23:02:40,5.49460983276
2014-04-15 22:33:29,4.18773269653,2014-04-15 22:51:14,4.05282592773,2014-04-15 23:03:10,5.48991394043
2014-04-15 22:33:59,4.24126434326,2014-04-15 22:51:44,4.05374145508,2014-04-15 23:03:40,5.49697875977
2014-04-15 22:34:29,4.2400970459,2014-04-15 22:52:14,4.04880142212,2014-04-15 23:04:10,5.4829750061
2014-04-15 22:34:59,4.22051620483,2014-04-15 22:52:44,4.04946136475,2014-04-15 23:04:40,5.47228622437
2014-04-15 22:35:29,4.36619949341,2014-04-15 22:53:14,4.04387283325,2014-04-15 23:05:10,5.49700164795
2014-04-15 22:35:59,4.36577606201,2014-04-15 22:53:44,4.04240036011,2014-04-15 23:05:40,5.48292160034
2014-04-15 22:36:29,4.55046081543,2014-04-15 22:54:14,4.04364013672,2014-04-15 23:06:10,5.47476577759
2014-04-15 22:36:59,4.54563522339,2014-04-15 22:54:44,4.04034805298,2014-04-15 23:06:40,5.49699783325
2014-04-15 22:37:29,4.48588562012,2014-04-15 22:55:14,4.04437255859,2014-04-15 23:07:10,5.49686050415
2014-04-15 22:37:59,4.48588943481,2014-04-15 22:55:44,4.04444503784,2014-04-15 23:07:40,5.49688720703
2014-04-15 22:38:29,4.47200012207,2014-04-15 22:56:14,4.04615783691,2014-04-15 23:08:10,5.49699020386
2014-04-15 22:38:59,4.48583984375,,,2014-04-15 23:08:40,5.49696350098
2014-04-15 22:39:29,4.57369613647,,,2014-04-15 23:09:10,5.48664474487
2014-04-15 22:39:59,4.54717254639,,,2014-04-15 23:09:40,5.48389434814
2014-04-15 22:40:29,4.57386398315,,,2014-04-15 23:10:10,5.49703216553
2014-04-15 22:40:59,4.57372283936,,,2014-04-15 23:10:40,5.48910903931
2014-04-15 22:41:29,4.57376480103,,,2014-04-15 23:11:10,5.48041534424
2014-04-15 22:41:59,4.57377243042,,,2014-04-15 23:11:40,5.49720001221
2014-04-15 22:42:29,4.56280517578,,,2014-04-15 23:12:10,5.49837112427
2014-04-15 22:42:59,4.56415939331,,,2014-04-15 23:12:40,5.49837112427
2014-04-15 22:43:29,4.5294342041
2014-04-15 22:43:59,4.56008148193
2014-04-15 22:44:29,4.57361984253
