SAR_WRITES: io writes in mb/sec
Stage1,,Stage2,,Stage3
time in interval: 100s,average io writes in mb/sec per 30.0s,time in interval: 100s,average io writes in mb/sec per 30.0s,time in interval: 100s,average io writes in mb/sec per 30.0s
2014-04-15 22:28:29,6.040546875,2014-04-15 22:46:14,0.5696484375,2014-04-15 22:58:10,2.37767089844
2014-04-15 22:28:59,7.94310058594,2014-04-15 22:46:44,0.772490234375,2014-04-15 22:58:40,2.45384277344
2014-04-15 22:29:29,8.68616210937,2014-04-15 22:47:14,0.723452148438,2014-04-15 22:59:10,4.30211914062
2014-04-15 22:29:59,7.69389160156,2014-04-15 22:47:44,9.25739746094,2014-04-15 22:59:40,3.95806152344
2014-04-15 22:30:29,8.5798046875,2014-04-15 22:48:14,0.547758789062,2014-04-15 23:00:10,3.91097167969
2014-04-15 22:30:59,7.90053710937,2014-04-15 22:48:44,0.433491210937,2014-04-15 23:00:40,3.80682617188
2014-04-15 22:31:29,7.77798339844,2014-04-15 22:49:14,7.44597167969,2014-04-15 23:01:10,3.94271484375
2014-04-15 22:31:59,7.80728515625,2014-04-15 22:49:44,6.2608203125,2014-04-15 23:01:40,3.75243652344
2014-04-15 22:32:29,7.80051269531,2014-04-15 22:50:14,7.45470703125,2014-04-15 23:02:10,3.58698242188
2014-04-15 22:32:59,8.09556152344,2014-04-15 22:50:44,7.52213867188,2014-04-15 23:02:40,3.928828125
2014-04-15 22:33:29,9.17036621094,2014-04-15 22:51:14,7.52894042969,2014-04-15 23:03:10,3.81765625
2014-04-15 22:33:59,8.41466308594,2014-04-15 22:51:44,7.51959472656,2014-04-15 23:03:40,3.91789550781
2014-04-15 22:34:29,7.82306152344,2014-04-15 22:52:14,7.37066894531,2014-04-15 23:04:10,3.76465820313
2014-04-15 22:34:59,7.71487792969,2014-04-15 22:52:44,7.54787109375,2014-04-15 23:04:40,3.88479003906
2014-04-15 22:35:29,7.7256640625,2014-04-15 22:53:14,7.49697753906,2014-04-15 23:05:10,3.78301757812
2014-04-15 22:35:59,8.26686035156,2014-04-15 22:53:44,7.61862304688,2014-04-15 23:05:40,4.06223632812
2014-04-15 22:36:29,7.80089355469,2014-04-15 22:54:14,7.50591308594,2014-04-15 23:06:10,3.73122558594
2014-04-15 22:36:59,8.61263671875,2014-04-15 22:54:44,7.57916992187,2014-04-15 23:06:40,3.93486816406
2014-04-15 22:37:29,9.04159179688,2014-04-15 22:55:14,7.4845703125,2014-04-15 23:07:10,4.02736816406
2014-04-15 22:37:59,7.58339355469,2014-04-15 22:55:44,7.54704101563,2014-04-15 23:07:40,3.8166796875
2014-04-15 22:38:29,7.47349121094,2014-04-15 22:56:14,7.66622558594,2014-04-15 23:08:10,3.80039550781
2014-04-15 22:38:59,7.61627441406,,,2014-04-15 23:08:40,4.03650390625
2014-04-15 22:39:29,7.54600097656,,,2014-04-15 23:09:10,3.95883300781
2014-04-15 22:39:59,7.28931640625,,,2014-04-15 23:09:40,4.13354492188
2014-04-15 22:40:29,7.55964355469,,,2014-04-15 23:10:10,3.94958007812
2014-04-15 22:40:59,7.61119140625,,,2014-04-15 23:10:40,3.97329589844
2014-04-15 22:41:29,7.46998535156,,,2014-04-15 23:11:10,4.19525390625
2014-04-15 22:41:59,7.63856933594,,,2014-04-15 23:11:40,4.47634277344
2014-04-15 22:42:29,7.53178710938,,,2014-04-15 23:12:10,6.31662597656
2014-04-15 22:42:59,7.48721679687,,,2014-04-15 23:12:40,0.36271484375
2014-04-15 22:43:29,7.63387695313
2014-04-15 22:43:59,7.53048339844
2014-04-15 22:44:29,7.55291015625
