INFO  14:22:16,992 HelpFormatter - --------------------------------------------------------------------------------- 
INFO  14:22:17,000 HelpFormatter - The Genome Analysis Toolkit (GATK) v3.4-46-g8ea4dca, Compiled 2015/08/13 20:41:56 
INFO  14:22:17,000 HelpFormatter - Copyright (c) 2010 The Broad Institute 
INFO  14:22:17,001 HelpFormatter - For support and documentation go to http://www.broadinstitute.org/gatk 
INFO  14:22:17,004 HelpFormatter - Program Args: -T BaseRecalibrator -I /mnt/sdb/data/broadout/sim1M_pairs_gatk_best_practices_12t_30s_2016-07-25_14-09-52/sim1M_pairs_realign.bam -L /mnt/sdb/Broad_Ref_Pipeline_approved_package/workflow_profiler/.queue/scatterGather/ExampleBaseRecalibrator-1-sg/temp_15_of_24/scatter.intervals -R /mnt/sdb/Broad_Ref_Pipeline_approved_package/b37bundle/human_g1k_v37.fasta -knownSites /mnt/sdb/Broad_Ref_Pipeline_approved_package/b37bundle/dbsnp_138.b37.vcf -o /mnt/sdb/Broad_Ref_Pipeline_approved_package/workflow_profiler/.queue/scatterGather/ExampleBaseRecalibrator-1-sg/temp_15_of_24/sim1M_pairs_recal.grp 
INFO  14:22:17,011 HelpFormatter - Executing as bshifaw@application-0-1.hudson.intel.com on Linux 3.10.0-327.el7.x86_64 amd64; OpenJDK 64-Bit Server VM 1.8.0_101-b13. 
INFO  14:22:17,011 HelpFormatter - Date/Time: 2016/07/25 14:22:16 
INFO  14:22:17,011 HelpFormatter - --------------------------------------------------------------------------------- 
INFO  14:22:17,012 HelpFormatter - --------------------------------------------------------------------------------- 
INFO  14:22:17,105 GenomeAnalysisEngine - Strictness is SILENT 
INFO  14:22:17,212 GenomeAnalysisEngine - Downsampling Settings: No downsampling 
INFO  14:22:17,220 SAMDataSource$SAMReaders - Initializing SAMRecords in serial 
INFO  14:22:17,267 SAMDataSource$SAMReaders - Done initializing BAM readers: total time 0.05 
INFO  14:22:17,676 IntervalUtils - Processing 1801029 bp from intervals 
INFO  14:22:17,777 GenomeAnalysisEngine - Preparing for traversal over 1 BAM files 
INFO  14:22:17,977 GenomeAnalysisEngine - Done preparing for traversal 
INFO  14:22:17,983 ProgressMeter - [INITIALIZATION COMPLETE; STARTING PROCESSING] 
INFO  14:22:17,983 ProgressMeter -                 | processed |    time |    per 1M |           |   total | remaining 
INFO  14:22:17,983 ProgressMeter -        Location |     reads | elapsed |     reads | completed | runtime |   runtime 
INFO  14:22:18,155 BaseRecalibrator - The covariates being used here:  
INFO  14:22:18,156 BaseRecalibrator - 	ReadGroupCovariate 
INFO  14:22:18,157 BaseRecalibrator - 	QualityScoreCovariate 
INFO  14:22:18,163 BaseRecalibrator - 	ContextCovariate 
INFO  14:22:18,164 ContextCovariate - 		Context sizes: base substitution model 2, indel substitution model 3 
INFO  14:22:18,164 BaseRecalibrator - 	CycleCovariate 
INFO  14:22:18,166 ReadShardBalancer$1 - Loading BAM index data 
INFO  14:22:18,314 ReadShardBalancer$1 - Done loading BAM index data 
INFO  14:22:30,215 BaseRecalibrator - Calculating quantized quality scores... 
INFO  14:22:30,254 BaseRecalibrator - Writing recalibration report... 
INFO  14:22:30,991 BaseRecalibrator - ...done! 
INFO  14:22:30,991 BaseRecalibrator - BaseRecalibrator was able to recalibrate 1449 reads 
INFO  14:22:30,994 ProgressMeter -            done      1449.0    13.0 s       2.5 h       97.0%    13.0 s       0.0 s 
INFO  14:22:30,994 ProgressMeter - Total runtime 13.01 secs, 0.22 min, 0.00 hours 
INFO  14:22:30,995 MicroScheduler - 48 reads were filtered out during the traversal out of approximately 1497 total reads (3.21%) 
INFO  14:22:30,995 MicroScheduler -   -> 0 reads (0.00% of total) failing BadCigarFilter 
INFO  14:22:30,995 MicroScheduler -   -> 0 reads (0.00% of total) failing DuplicateReadFilter 
INFO  14:22:30,995 MicroScheduler -   -> 0 reads (0.00% of total) failing FailsVendorQualityCheckFilter 
INFO  14:22:30,996 MicroScheduler -   -> 0 reads (0.00% of total) failing MalformedReadFilter 
INFO  14:22:30,996 MicroScheduler -   -> 0 reads (0.00% of total) failing MappingQualityUnavailableFilter 
INFO  14:22:30,996 MicroScheduler -   -> 48 reads (3.21% of total) failing MappingQualityZeroFilter 
INFO  14:22:30,996 MicroScheduler -   -> 0 reads (0.00% of total) failing NotPrimaryAlignmentFilter 
INFO  14:22:30,996 MicroScheduler -   -> 0 reads (0.00% of total) failing UnmappedReadFilter 
